date,asset_id,bid,ask,last,volume,market_cap_usd,source,event_type,precision_status,source_reference,observed_at,period_end,frequency
2022-06-29,rally-gmtblack1,,,25.5,0.0,25500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-06-29T00:00:00Z,2022-06-30,quarterly
2022-09-26,rally-gmtblack1,,,26.65,0.0,26650.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-09-26T00:00:00Z,2022-09-30,quarterly
2022-12-28,rally-gmtblack1,,,26.65,0.0,26650.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-12-28T00:00:00Z,2022-12-31,quarterly
2023-03-27,rally-gmtblack1,,,26.65,0.0,26650.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-03-27T00:00:00Z,2023-03-31,quarterly
2023-06-28,rally-gmtblack1,,,26.25,0.0,26250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-06-28T00:00:00Z,2023-06-30,quarterly
2023-09-29,rally-gmtblack1,,,25.1,0.0,25100.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-09-29T00:00:00Z,2023-09-30,quarterly
2023-12-29,rally-gmtblack1,,,25.5,0.0,25500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-12-29T00:00:00Z,2023-12-31,quarterly
2024-03-22,rally-gmtblack1,,,24.0,0.0,24000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-03-22T00:00:00Z,2024-03-31,quarterly
2024-06-26,rally-gmtblack1,,,22.25,0.0,22250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-06-26T00:00:00Z,2024-06-30,quarterly
2024-09-27,rally-gmtblack1,,,25.45,0.0,25450.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-09-27T00:00:00Z,2024-09-30,quarterly
2024-12-31,rally-gmtblack1,,,30.0,0.0,30000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-12-31T00:00:00Z,2024-12-31,quarterly
2025-03-28,rally-gmtblack1,,,29.95,0.0,29950.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-03-28T00:00:00Z,2025-03-31,quarterly
2025-06-24,rally-gmtblack1,,,29.95,0.0,29950.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-06-24T00:00:00Z,2025-06-30,quarterly
2025-09-26,rally-gmtblack1,,,23.75,0.0,23750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-09-26T00:00:00Z,2025-09-30,quarterly
2025-12-30,rally-gmtblack1,,,21.0,0.0,21000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-12-30T00:00:00Z,2025-12-31,quarterly
2026-03-27,rally-gmtblack1,,,27.6,0.0,27600.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-03-27T00:00:00Z,2026-03-31,quarterly
2026-06-30,rally-gmtblack1,,,28.5,0.0,28500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-06-30T00:00:00Z,2026-06-30,quarterly
2020-09-15,rally-himalaya,,,75.0,0.0,150000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2020-09-15T00:00:00Z,2020-09-30,quarterly
2020-12-15,rally-himalaya,,,50.0,0.0,100000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2020-12-15T00:00:00Z,2020-12-31,quarterly
2021-03-02,rally-himalaya,,,40.0,0.0,80000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2021-03-02T00:00:00Z,2021-03-31,quarterly
2021-07-26,rally-himalaya,,,60.0,0.0,120000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2021-07-26T00:00:00Z,2021-06-30,quarterly
2021-09-22,rally-himalaya,,,60.0,0.0,120000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2021-09-22T00:00:00Z,2021-09-30,quarterly
2022-01-31,rally-himalaya,,,48.55,0.0,97100.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-01-31T00:00:00Z,2021-12-31,quarterly
2022-03-28,rally-himalaya,,,55.0,0.0,110000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-03-28T00:00:00Z,2022-03-31,quarterly
2022-06-30,rally-himalaya,,,54.0,0.0,108000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-06-30T00:00:00Z,2022-06-30,quarterly
2022-09-27,rally-himalaya,,,50.0,0.0,100000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-09-27T00:00:00Z,2022-09-30,quarterly
2022-12-30,rally-himalaya,,,63.0,0.0,126000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-12-30T00:00:00Z,2022-12-31,quarterly
2023-03-30,rally-himalaya,,,57.95,0.0,115900.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-03-30T00:00:00Z,2023-03-31,quarterly
2023-06-26,rally-himalaya,,,59.4,0.0,118800.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-06-26T00:00:00Z,2023-06-30,quarterly
2023-09-29,rally-himalaya,,,54.0,0.0,108000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-09-29T00:00:00Z,2023-09-30,quarterly
2023-12-29,rally-himalaya,,,54.15,0.0,108300.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-12-29T00:00:00Z,2023-12-31,quarterly
2024-03-25,rally-himalaya,,,55.0,0.0,110000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-03-25T00:00:00Z,2024-03-31,quarterly
2024-06-28,rally-himalaya,,,50.0,0.0,100000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-06-28T00:00:00Z,2024-06-30,quarterly
