date,universe,category,weighting_method,asset_id,ticker,constituent_status,units_held,price,price_source,position_value,portfolio_weight,entry_date,exit_date,terminal_proceeds,realized_pl,rebalance_trade_value
2025-03-31,full_market,all,equal_weight,rally-dimaggio2,DIMAGGIO2,included_in_index,0.39031978494712893,10.95,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2020-11-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-dominos,DOMINOS,included_in_index,0.8380395382688357,5.1,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2021-01-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-gmtblack1,GMTBLACK1,included_in_index,0.14246672150570205,30.0,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2020-06-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-riviera,RIVIERA,included_in_index,1.0424394256514786,4.1,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2021-04-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,0.38854560410646016,11.0,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2019-11-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-smurf,SMURF,included_in_index,0.2514118614806507,17.0,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2019-11-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-snoopy,SNOOPY,included_in_index,0.2849334430114041,15.0,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2020-04-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-tornek,TORNEK,included_in_index,1.3787102081196974,3.1,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2020-11-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-03tache,03TACHE,included_in_index,1.0553090481903857,4.05,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2020-11-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-14drc,14DRC,included_in_index,0.07498248500300109,57.0,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2020-09-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-karuizawa,KARUIZAWA,included_in_index,1.1397337720456164,3.75,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2021-11-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-macallan1,MACALLAN1,included_in_index,0.19879077419400287,21.5,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2021-11-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-macallan2,MACALLAN2,included_in_index,0.5736914959961157,7.45,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2022-02-01,,0.0,0.0,
2025-03-31,full_market,all,equal_weight,rally-macallan3,MACALLAN3,included_in_index,0.6784129595509621,6.3,asof_observed_or_offering,4.274001645171062,0.043478260869565195,2022-07-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-megalodon,MEGALODON,included_in_index,0.8548003290342127,5.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2021-10-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-mosasaur,MOSASAUR,included_in_index,0.7770912082129207,5.5,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2021-02-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-birkinbor,BIRKINBOR,included_in_index,0.21370008225855316,20.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-02-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-birkintan,BIRKINTAN,included_in_index,0.2220260594894059,19.25,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-06-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-himalaya,HIMALAYA,included_in_index,0.07914817861427895,54.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-05-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-soblack,SOBLACK,included_in_index,0.15156034202734267,28.2,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-09-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-79stella,79STELLA,included_in_index,1.0685004112927659,4.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-10-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-93daytona,93DAYTONA,included_in_index,0.24146901950119004,17.7,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-09-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-bondwatch,BONDWATCH,included_in_index,1.5541824164258413,2.75,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2022-01-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-dimaggio2,DIMAGGIO2,included_in_index,0.3903197849471291,10.95,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-11-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-dominos,DOMINOS,included_in_index,0.838039538268836,5.1,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2021-01-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-gmtblack1,GMTBLACK1,included_in_index,0.1424667215057021,30.0,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2020-06-01,,0.0,0.0,
2025-04-30,full_market,all,equal_weight,rally-riviera,RIVIERA,included_in_index,1.042439425651479,4.1,asof_observed_or_offering,4.274001645171063,0.04347826086956521,2021-04-01,,0.0,0.0,
