asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,status,share_count,offering_date,offering_price_usd,offering_valuation_usd,acquisition_cost_usd,rally_url,sec_filing_url,source_type,source_url,source_notes,last_quote_observed_at,data_quality_status,data_quality_warnings
sec-rally-pacquiao,PACQUIAO,1999 World Boxing #143 Manny Pacquiao Rookie Card graded PSA 10,cards,cards,,,1999.0,,Box,World Boxing #143 Manny Pacquiao Rookie Card graded PSA 10,,trading,2000.0,2025-09-29,8.5,17000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-pokeblue,POKEBLUE,1998 Game Boy Pokémon Blue video game,cards,pokemon,,,1998.0,,,Game Boy Pokemon Blue video game,,trading,2400.0,2025-09-29,10.0,24000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-pokelugia,POKELUGIA,2000 Neo Genesis 1st Edition Holo Lugia #9 Graded PSA GEM MINT 10,cards,cards,,,2000.0,,,Neo Genesis 1st Edition Holo Lugia #9 Graded PSA GEM MINT 10,,trading,10000.0,2025-09-29,11.0,110000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-pokemon1,POKEMON1,1999 Pokemon First Edition PSA GEM MT 10 Complete Set,cards,pokemon,,,1999.0,,,Pokemon First Edition PSA GEM MT 10 Complete Set,,exited,5000.0,2025-09-29,25.0,125000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-pokemon2,POKEMON2,1999 Pokémon 1st Edition Base Set Sealed Booster Box published by Wizards of the Coast,cards,pokemon,,,1999.0,,Box,Pokemon 1st Edition Base Set Sealed Booster,,trading,41500.0,2025-09-29,10.0,415000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-pokemon3,POKEMON3,1999 Pokémon 1st Edition Complete Set graded PSA GEM MT 10,cards,pokemon,,,1999.0,,,Pokemon 1st Edition Complete Set graded PSA GEM MT 10,,trading,5000.0,2025-09-29,120.0,600000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-pokered,POKERED,1998 Game Boy Pokémon Red Video Game graded Wata 9.2 A++,cards,pokemon,,,1998.0,,,Game Boy Pokemon Red Video Game graded Wata 9.2 A++,,trading,10000.0,2025-09-29,4.0,40000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-pokeyelow,POKEYELOW,"1999 Nintendo Game Boy Pokémon Yellow [Pixel ESRB, Early Production] Graded Wata 9.6 A++",cards,pokemon,,,1999.0,,,"Nintendo Game Boy Pokemon Yellow [Pixel ESRB, Early Production] Graded Wata 9.6",,trading,11000.0,2025-09-29,5.0,55000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-rocketbox,ROCKETBOX,2000 Pokémon Team Rocket 1st Edition Factory Sealed Booster Box,cards,pokemon,,,2000.0,,Box,Pokemon Team Rocket 1st Edition Factory Sealed Booster,,trading,4750.0,2025-09-29,6.0,28500.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
sec-rally-starwars3,STARWARS3,1977 Topps Star Wars Series 1-5 Wax Boxes Authenticated by BBCE,cards,cards,,,1977.0,,Box,Topps Star Wars Series 1-5 Wax Boxes Authenticated by BBCE,,trading,2600.0,2022-06-02,10.0,26000.0,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,sec_synthesized,https://www.sec.gov/Archives/edgar/data/1688804/000168880422000046/253g2.htm,Synthesized from cached SEC offering tables; current live trading fields require Rally app/API data.,,limited,missing_quote_snapshot; sec_synthesized_not_live_rally_quote
