date,active_asset_count,direct_observation_asset_count,carried_forward_asset_count,stale_asset_count,median_observation_age_days,max_observation_age_days,direct_coverage_pct,carried_forward_coverage_pct
2021-08-25,31,1,30,9,49.0,663,0.01530244476689947,0.9846975552331005
2021-08-26,31,1,30,9,43.0,664,0.02536371432137302,0.9746362856786269
2021-09-10,31,1,30,10,52.0,679,0.03824838799514433,0.9617516120048557
2021-09-13,31,1,30,10,55.0,682,0.021911570779049865,0.9780884292209502
2021-09-15,31,2,29,10,51.0,684,0.06531713402368773,0.9346828659763122
2021-09-20,31,1,30,10,50.0,689,0.016742856315492275,0.9832571436845077
2021-09-21,31,1,30,10,48.0,690,0.009482080842640917,0.9905179191573591
2021-09-22,31,1,30,10,43.0,691,0.06321387228427279,0.9367861277157272
2021-09-24,31,1,30,9,45.0,693,0.02328609245994753,0.9767139075400525
2021-09-27,31,1,30,9,45.0,696,0.007049016871782576,0.9929509831282174
2021-09-30,31,2,29,7,44.0,699,0.030025663295984658,0.9699743367040153
2021-10-01,32,0,31,7,44.0,700,0.0,0.760800600390493
2021-10-04,32,1,31,6,45.5,703,0.013140956078881414,0.9868590439211186
2021-10-15,32,1,31,6,53.5,714,0.02214622639177663,0.9778537736082233
2021-10-18,32,1,31,6,53.5,717,0.016548199593404023,0.983451800406596
2021-10-21,32,1,31,6,48.5,720,0.006108380402345224,0.9938916195976548
2021-10-29,32,1,31,6,47.5,728,0.019642525675236375,0.9803574743247636
2021-11-01,34,1,31,5,47.0,731,0.05095054612616629,0.918845815734648
2021-11-03,34,1,33,5,46.5,733,0.01774797605328231,0.9822520239467177
2021-11-11,34,1,33,5,51.5,741,0.020642239062334405,0.9793577609376656
2021-12-20,34,1,33,10,89.5,780,0.026379600540208343,0.9736203994597916
2022-01-01,35,0,34,12,101.0,792,0.0,0.9703226392818821
2022-01-03,35,2,33,12,103.0,794,0.02435220629321057,0.9756477937067894
2022-01-10,35,4,31,11,101.0,801,0.05158368428550545,0.9484163157144946
2022-01-18,35,1,34,12,95.0,809,0.006718909329645616,0.9932810906703544
2022-01-24,35,2,33,12,95.0,815,0.016417374432737736,0.9835826255672623
2022-01-31,35,3,32,13,91.0,822,0.08004609984808005,0.9199539001519199
2022-02-01,36,0,35,13,92.0,823,0.0,0.9886994476855057
2022-02-07,36,2,34,11,92.0,829,0.037411377145448906,0.962588622854551
2022-02-14,36,1,35,11,75.5,836,0.024502109361158063,0.975497890638842
2022-03-25,36,4,32,16,81.0,875,0.05962765631817223,0.9403723436818278
2022-03-28,36,9,27,14,59.5,878,0.15935683009116358,0.8406431699088364
2022-03-29,36,4,32,12,46.5,879,0.047390077998804576,0.9526099220011954
2022-03-30,36,4,32,10,5.0,880,0.07386954742452556,0.9261304525754744
2022-03-31,36,5,31,7,3.0,881,0.06426066297092431,0.9357393370290756
2022-04-11,36,1,35,6,14.0,892,0.020155794052662917,0.9798442059473371
2022-06-24,36,2,34,9,88.0,966,0.017352124895862603,0.9826478751041374
2022-06-27,36,13,23,8,88.5,969,0.18017406579367615,0.8198259342063239
2022-06-28,36,1,35,8,89.5,970,0.007183334663580493,0.9928166653364195
2022-06-29,36,3,33,8,5.0,971,0.04077832341928193,0.9592216765807181
2022-06-30,36,10,26,7,3.0,972,0.1972627278695966,0.8027372721304035
2022-07-01,37,0,36,7,4.0,973,0.0,0.9917601852149587
2022-08-01,38,0,37,7,35.0,1004,0.0,0.9944042974995204
2022-09-26,38,7,31,7,89.5,1060,0.09077503195739549,0.9092249680426046
2022-09-27,38,3,35,7,89.5,1061,0.08675438543619293,0.913245614563807
2022-09-28,38,7,31,7,89.5,1062,0.10661113045009142,0.8933888695499086
2022-09-29,38,7,31,7,3.0,1063,0.09228902589395807,0.907710974106042
2022-09-30,38,6,32,6,2.0,1064,0.09030990619321251,0.9096900938067874
2022-10-10,38,1,37,5,12.0,1074,0.015967267102439998,0.98403273289756
2022-12-27,38,9,29,7,89.5,1152,0.11174823974924532,0.8882517602507547
2022-12-28,38,5,33,6,90.0,1153,0.09109293733209188,0.9089070626679081
2022-12-29,38,7,31,6,2.0,1154,0.11560746168115003,0.88439253831885
2022-12-30,38,13,25,4,1.0,1155,0.3010025284480305,0.6989974715519696
2023-03-24,38,1,37,4,85.0,1239,0.014446967688938876,0.9855530323110612
2023-03-27,38,10,28,4,87.0,1242,0.1838733014820174,0.8161266985179826
2023-03-28,38,5,33,4,88.0,1243,0.09769644789483486,0.9023035521051651
2023-03-29,38,6,32,4,2.0,1244,0.15931568727075315,0.8406843127292468
2023-03-30,38,6,32,4,3.0,1245,0.14223078820208812,0.8577692117979119
2023-03-31,38,6,32,4,3.0,1246,0.14256852402799222,0.8574314759720078
2023-06-26,38,8,30,4,89.0,1333,0.1464331107054369,0.8535668892945631
2023-06-27,38,7,31,4,89.0,1334,0.16866905465336995,0.83133094534663
2023-06-28,38,2,36,4,89.5,1335,0.035408557731199976,0.9645914422688
2023-06-29,38,7,31,4,3.0,1336,0.13068094292992322,0.8693190570700767
2023-06-30,38,10,28,4,2.5,1337,0.21785529130037637,0.7821447086996236
2023-09-25,38,1,37,4,89.5,1424,0.033283998751288575,0.9667160012487114
2023-09-26,38,5,33,4,89.0,1425,0.07451399970985058,0.9254860002901494
2023-09-27,38,5,33,4,90.0,1426,0.1437019379006613,0.8562980620993387
2023-09-28,38,11,27,4,2.0,1427,0.18435455141161594,0.8156454485883841
2023-09-29,38,12,26,4,1.0,1428,0.24688175366380774,0.7531182463361923
2023-12-27,38,3,35,4,90.0,1517,0.04790796405257182,0.9520920359474282
2023-12-28,38,5,33,4,91.0,1518,0.09623489511070002,0.9037651048893
2023-12-29,38,26,12,4,0.0,1519,0.5133745180965715,0.4866254819034285
2024-03-22,38,2,36,4,84.0,1603,0.028558728607711612,0.9714412713922884
2024-03-25,38,8,30,4,87.0,1606,0.2036050916220421,0.7963949083779579
2024-03-26,38,4,34,4,88.0,1607,0.07999252015437024,0.9200074798456298
2024-03-27,38,2,36,4,89.0,1608,0.04973537602754875,0.9502646239724513
