comp_id,category,subcategory,asset_id,source,source_url,date,price_usd,currency,condition,exactness_score,source_confidence,price_type,source_access,venue,auction_name,lot_id,brand,model,reference,size,material,color,hardware,year,title,auction_url,lot_url,raw_text_path,confidence_score,estimate_low_usd,estimate_high_usd,buyer_premium_included,notes
sothebys-handbags-accessories-63,handbags,Constance,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,19050.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,63,Hermes,Constance,,18.0,Epsom,Black,,,"Black Epsom Mini Constance 18 Brushed Gold Hardware, 2025",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,8000.0,14000.0,True,"Black Epsom Mini Constance 18 Brushed Gold Hardware, 2025"
sothebys-handbags-accessories-64,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,7620.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,64,Hermes,Kelly,,35.0,Box,Black,,,"Vintage Black Box Kelly 35 Sellier Gold Hardware, 1985",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,4000.0,8000.0,True,"Vintage Black Box Kelly 35 Sellier Gold Hardware, 1985"
sothebys-handbags-accessories-66,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,16510.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,66,Hermes,Kelly,,28.0,Porosus Crocodile,Black Shiny,,,"Vintage Black Shiny Porosus Crocodile Kelly 28 Sellier Gold Hardware, 1995",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,10000.0,16000.0,True,"Vintage Black Shiny Porosus Crocodile Kelly 28 Sellier Gold Hardware, 1995"
sothebys-handbags-accessories-67,handbags,Constance,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,9525.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,67,Hermes,Constance,,23.0,Lizard,Black Shiny,,,"Vintage Black Shiny Lizard Constance 23 Gold Hardware, 1960s",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,5000.0,8000.0,True,"Vintage Black Shiny Lizard Constance 23 Gold Hardware, 1960s"
sothebys-handbags-accessories-69,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,12065.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,69,Hermes,Birkin,,35.0,Togo,Black,,,"Black Togo Birkin 35 Rose Gold Hardware, 2018",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,8000.0,14000.0,True,"Black Togo Birkin 35 Rose Gold Hardware, 2018"
sothebys-handbags-accessories-70,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,25400.0,USD,,0.73,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,70,Hermes,Kelly,,,,18K White Gold and Diamond Precieux,,,"18K White Gold and Diamond Précieux Kelly Pendant Necklace, 2023",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.73,30000.0,40000.0,True,"18K White Gold and Diamond Précieux Kelly Pendant Necklace, 2023"
sothebys-handbags-accessories-71,handbags,Lindy,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,7620.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,71,Hermes,Lindy,,20.0,Swift,White,,,"White Swift Mini Lindy 20 Palladium Hardware, 2023",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,6000.0,9000.0,True,"White Swift Mini Lindy 20 Palladium Hardware, 2023"
sothebys-handbags-accessories-72,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,11430.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,72,Hermes,Birkin,,35.0,Togo,White,,,"White Togo Birkin 35 Palladium Hardware, 2011",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,8000.0,14000.0,True,"White Togo Birkin 35 Palladium Hardware, 2011"
sothebys-handbags-accessories-73,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,20320.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,73,Hermes,Birkin,,30.0,Epsom,White,,,"White Epsom Birkin 30 Gold Hardware, 2014",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,11000.0,18000.0,True,"White Epsom Birkin 30 Gold Hardware, 2014"
sothebys-handbags-accessories-76,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,31750.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,76,Hermes,Birkin,,25.0,Togo,Gris Pantin,,,"Gris Pantin Togo Birkin 25 Gold Hardware, 2025",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,16000.0,25000.0,True,"Gris Pantin Togo Birkin 25 Gold Hardware, 2025"
sothebys-handbags-accessories-77,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,11430.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,77,Hermes,Birkin,,40.0,Clemence,Bleu Glacier,,,"Bleu Glacier Clèmence Birkin 40 Palladium Hardware, 2014",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,6000.0,12000.0,True,"Bleu Glacier Clèmence Birkin 40 Palladium Hardware, 2014"
sothebys-handbags-accessories-78,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,17780.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,78,Hermes,Birkin,,30.0,Clemence,Bleu Azur,,,"Bleu Azur Clèmence Birkin 30 Palladium Hardware, 2014",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,11000.0,18000.0,True,"Bleu Azur Clèmence Birkin 30 Palladium Hardware, 2014"
sothebys-handbags-accessories-79,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,22860.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,79,Hermes,Birkin,,30.0,Ostrich,Bleu Mykonos,,,"Bleu Mykonos Ostrich Birkin 30 Palladium Hardware, 2011",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,12000.0,18000.0,True,"Bleu Mykonos Ostrich Birkin 30 Palladium Hardware, 2011"
sothebys-handbags-accessories-81,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,6350.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,81,Hermes,Kelly,,35.0,Togo,Bleu Paradis,,,"Bleu Paradis Togo Kelly 35 Retourné Palladium Hardware, 2014",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,5000.0,9000.0,True,"Bleu Paradis Togo Kelly 35 Retourné Palladium Hardware, 2014"
sothebys-handbags-accessories-83,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,16510.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,83,Hermes,Birkin,,30.0,Epsom,Bleu Zanzibar,,,"Bleu Zanzibar Epsom Birkin 30 Gold Hardware, 2017",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,10000.0,16000.0,True,"Bleu Zanzibar Epsom Birkin 30 Gold Hardware, 2017"
sothebys-handbags-accessories-84,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,11430.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,84,Hermes,Birkin,,35.0,Epsom,Bleu du Nord and Bleu Thalassa Verso,,,"Bleu du Nord and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2013",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,8000.0,14000.0,True,"Bleu du Nord and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2013"
sothebys-handbags-accessories-85,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,8255.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,85,Hermes,Kelly,,28.0,Clemence,Bleu Jean,,,"Bleu Jean Clèmence Kelly 28 Retourné Palladium Hardware, 2007",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,6000.0,10000.0,True,"Bleu Jean Clèmence Kelly 28 Retourné Palladium Hardware, 2007"
sothebys-handbags-accessories-88,handbags,Kelly,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,13970.0,USD,,0.9099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,88,Hermes,Kelly,,28.0,Clemence,Bleu Atoll,,,"Bleu Atoll Clèmence Kelly 28 Retourné Gold Hardware, 2015",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999,11000.0,16000.0,True,"Bleu Atoll Clèmence Kelly 28 Retourné Gold Hardware, 2015"
sothebys-handbags-accessories-89,handbags,Birkin,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,8890.0,USD,,0.83,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,89,Hermes,Birkin,,35.0,,Bleu Colvert Fjord,,,"Bleu Colvert Fjord Birkin 35 Palladium Hardware, 2012",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.83,7000.0,12000.0,True,"Bleu Colvert Fjord Birkin 35 Palladium Hardware, 2012"
sothebys-handbags-accessories-90,handbags,HAC,,Sothebys,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,12065.0,USD,,0.8099999999999999,0.7,realized_with_premium,user_export,New York,Handbags & Accessories,90,Hermes,HAC,,,Togo,Bleu Nuit,,,"Bleu Nuit Togo HAC Haut à Courroies 40 Palladium Hardware, 2022",,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.8099999999999999,9000.0,14000.0,True,"Bleu Nuit Togo HAC Haut à Courroies 40 Palladium Hardware, 2022"
