asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_market_cap_usd,source_notes,comp_count,top_comp_count,median_comp_sale_usd,mean_comp_sale_usd,estimate_weighted_value_usd,estimated_nav_usd,nav_low_usd,nav_high_usd,nav_confidence,discount_to_secondary_nav,premium_to_offering,rally_return_since_offering,comp_market_momentum_90d,comp_market_momentum_180d,comp_market_momentum_365d,liquidity_score,mispricing_score
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,,,,,,Mosasaur,,2021-02-01,30000.0,34200.0,,5.7,,,6000.0,,trading,,,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.,0,0,,,,,,,0.0,,0.1399999999999999,0.1399999999999999,,,,0.45,0.0
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,,,,,,Pappy Van Winkle Bourbon Assortment,,2022-08-01,14000.0,65100.0,,32.55,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-08.,0,0,,,,,,,0.0,,3.6500000000000004,3.6500000000000004,,,,0.45,0.0
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,Hermes,Kelly,,35,,Picnic,,2020-12-01,54000.0,26600.0,,13.3,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.,0,0,,,,,,,0.0,,-0.5074074074074074,-0.5074074074074074,,,,0.45,0.0
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,Rolex,,1965.0,,,1601 Datejust Joyera Riviera,,2021-04-01,30000.0,19800.0,,3.3,,,6000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.,0,0,,,,,,,0.0,,-0.33999999999999997,-0.33999999999999997,,,,0.45,0.0
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,Rolex,,,,,GMT-Master II Pepsi Jubilee,,2019-11-01,17800.0,20000.0,,10.0,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.,0,0,,,,,,,0.0,,0.12359550561797761,0.12359550561797761,,,,0.45,0.0
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,Rolex,Submariner,,,,,,2019-11-01,34500.0,36100.0,,18.05,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.,0,0,,,,,,,0.0,,0.04637681159420293,0.04637681159420293,,,,0.45,0.0
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,,,,,,Omega Speedmaster Silver Snoopy,,2020-04-01,25500.0,27500.0,,13.75,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-04.,0,0,,,,,,,0.0,,0.07843137254901955,0.07843137254901955,,,,0.45,0.0
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,Hermes,Birkin,,30,,So Black,,2020-09-01,56000.0,35050.0,,35.05,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.,0,0,,,,,,,0.0,,-0.37410714285714286,-0.37410714285714286,,,,0.45,0.0
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,stegosaurus,,,,,,BCQ-24 Stegosaurus Skeleton,,2024-12-01,13750000.0,,,,,,200000.0,,sold,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2024-12.,0,0,,,,,,,0.0,,,,,,,0.45,0.0
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,,,,,,Tornek-Rayville TR-900,,2020-11-01,165000.0,77550.0,,2.35,,,33000.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.,0,0,,,,,,,0.0,,-0.53,-0.53,,,,0.45,0.0
