exit_id,asset_id,series_name,sale_price,sale_date,realized_return,source_url,source_confidence
exit-0001688804-0001688804-25-000007-51MANTLE,,Series #51MANTLE,65000.0,2022-04-15,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-03KOBE,,Series #03KOBE,43500.0,2024-12-23,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-03LEBRON,,Series #03LEBRON,56000.0,2022-01-31,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-FANFOUR1,,Series #FANFOUR1,126000.0,2021-06-14,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-85MARIO,,Series #85MARIO,2000000.0,2021-08-09,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-TOS39,,Series #TOS39,240000.0,2022-01-31,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-DAREDEV1,,Series #DAREDEV1,22080.0,2021-07-26,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-FAUBOURG,,Series #FAUBOURG,175000.0,2023-05-22,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-AF15,,Series #AF15,240000.0,2021-06-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-JOBSMAC,,Series #JOBSMAC,150000.0,2024-08-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-CLEMENTE2,,Series #CLEMENTE2,72500.0,2024-09-15,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-SUPER14,,Series #SUPER14,156000.0,2021-08-03,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-88MARIO,,Series #88MARIO,60000.0,2020-12-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-NASA1,,Series #NASA1,349627.0,2024-04-25,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-JUSTICE1,,Series #JUSTICE1,225000.0,2022-06-01,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-85JORDAN,,Series #85JORDAN,275000.0,2024-03-05,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
