comp_id,source,auction_name,auction_url,sale_date,brand,model,size,material,color,hardware,condition,year,estimate_low_usd,estimate_high_usd,realized_price_usd,currency,title,lot_url,raw_text_path,confidence_score
sothebys-handbags-accessories-84,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,Epsom,Bleu du Nord and Bleu Thalassa Verso,Palladium Hardware,,2013.0,8000.0,14000.0,11430.0,USD,"Bleu du Nord and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2013",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-85,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,28.0,Clemence,Bleu Jean,Palladium Hardware,,2007.0,6000.0,10000.0,8255.0,USD,"Bleu Jean Clèmence Kelly 28 Retourné Palladium Hardware, 2007",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-88,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,28.0,Clemence,Bleu Atoll,Gold Hardware,,2015.0,11000.0,16000.0,13970.0,USD,"Bleu Atoll Clèmence Kelly 28 Retourné Gold Hardware, 2015",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-89,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,,Bleu Colvert Fjord,Palladium Hardware,,2012.0,7000.0,12000.0,8890.0,USD,"Bleu Colvert Fjord Birkin 35 Palladium Hardware, 2012",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.83
sothebys-handbags-accessories-90,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,HAC,,Togo,Bleu Nuit,Palladium Hardware,,2022.0,9000.0,14000.0,12065.0,USD,"Bleu Nuit Togo HAC Haut à Courroies 40 Palladium Hardware, 2022",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.8099999999999999
sothebys-handbags-accessories-91,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,30.0,Clemence,Bleu Encre,Gold Hardware,,2018.0,12000.0,18000.0,16510.0,USD,"Bleu Encre Clèmence Birkin 30 Gold Hardware, 2018",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-93,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,50.0,,Bleu De Malte Novillo Voyage,Palladium Hardware,,2021.0,9000.0,14000.0,11430.0,USD,"Bleu De Malte Novillo Voyage Kelly 50 Retourné Palladium Hardware, 2021",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.83
sothebys-handbags-accessories-94,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,25.0,Swift,Bleu Saphir,Palladium Hardware,,2010.0,13000.0,18000.0,10795.0,USD,"Bleu Saphir Swift Kelly 25 Retourné Palladium Hardware, 2010",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-95,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,35.0,,Bleu Encre Novillo,Gold Hardware,,2011.0,6000.0,8000.0,7620.0,USD,"Bleu Encre Novillo Birkin 35 Gold Hardware, 2011",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.83
sothebys-handbags-accessories-97,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,28.0,Epsom,Bleu Electrique,Permabrass Hardware,,2017.0,10000.0,18000.0,15240.0,USD,"Bleu Electrique Epsom and Rouge Vif Verso HSS Kelly 28 Sellier Permabrass Hardware, 2017",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-103,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Birkin,30.0,Clemence,Raisin,Gold Hardware,,2014.0,10000.0,16000.0,12700.0,USD,"Raisin Clèmence Birkin 30 Gold Hardware, 2014",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-105,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,28.0,Box,Rouge H,Gold Hardware,,1950.0,5000.0,9000.0,8890.0,USD,"Vintage Rouge H Box and Toile Kelly 28 Retourné Gold Hardware, 1950",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
sothebys-handbags-accessories-106,Sothebys,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,Hermes,Kelly,35.0,Box,Rouge H,Gold Hardware,,1992.0,4000.0,8000.0,7620.0,USD,"Vintage Rouge H Box Kelly 35 Sellier Gold Hardware, 1992",https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,,0.9099999999999999
