date,category,category_market_cap,active_asset_count,direct_observation_market_cap,carried_forward_market_cap,price_effect,new_issuance,removed_capital,pl_contribution,total_market_cap,category_weight,prior_category_market_cap,period_return,return_index,frequency,calculated_at,calculation_version
2020-12-01,wine and whiskey,271600.0,7,0.0,253100.0,0.0,18500.0,0.0,0.0,1411600.0,0.19240578067441202,253100.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-15,handbags,506000.0,7,100000.0,406000.0,-50000.0,0.0,0.0,-50000.0,1361600.0,0.3716216216216216,556000.0,-0.08992805755395683,94.29434780349096,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-15,watches,584000.0,9,0.0,584000.0,0.0,0.0,0.0,0.0,1361600.0,0.4289071680376028,584000.0,0.0,123.05076270623098,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-15,wine and whiskey,271600.0,7,0.0,271600.0,0.0,0.0,0.0,0.0,1361600.0,0.19947121034077556,271600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-22,handbags,506000.0,7,0.0,506000.0,0.0,0.0,0.0,0.0,1361600.0,0.3716216216216216,506000.0,0.0,94.29434780349096,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-22,watches,584000.0,9,0.0,584000.0,0.0,0.0,0.0,0.0,1361600.0,0.4289071680376028,584000.0,0.0,123.05076270623098,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2020-12-22,wine and whiskey,271600.0,7,54000.0,217600.0,0.0,0.0,0.0,0.0,1361600.0,0.19947121034077556,271600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-01,fossils,285000.0,1,0.0,0.0,0.0,285000.0,0.0,0.0,1856600.0,0.1535064095658731,0.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-01,handbags,671000.0,8,0.0,506000.0,0.0,165000.0,0.0,0.0,1856600.0,0.3614133362059679,506000.0,0.0,94.29434780349096,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-01,watches,595000.0,10,0.0,584000.0,0.0,11000.0,0.0,0.0,1856600.0,0.3204782936550684,584000.0,0.0,123.05076270623098,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-01,wine and whiskey,305600.0,8,0.0,271600.0,0.0,34000.0,0.0,0.0,1856600.0,0.1646019605730906,271600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-01-05,fossils,285000.0,1,0.0,285000.0,0.0,0.0,0.0,0.0,1861100.0,0.15313524259846328,285000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
