asset_id,period_end,observed_at,price_per_share,market_cap,event_type,source_type,source_reference,collected_at,researcher,precision_status,notes,volume,frequency,implied_market_cap,warning_reason
rally-03tache,2026-03-31,2026-03-30T00:00:00Z,4.1,63960.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,63959.99999999999,chart_observation_marked_exact
rally-03tache,2026-06-30,2026-06-25T00:00:00Z,4.05,63180.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,63180.0,chart_observation_marked_exact
rally-05latour,2020-09-30,2020-09-01T00:00:00Z,9.8,9800.0,offering_price,rally_app,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Initial offering,,quarterly,9800.0,observed_at_exceeds_quarter_lookback:29d; offering_price_excluded_from_secondary_returns
rally-05latour,2020-12-31,2020-12-22T00:00:00Z,9.8,9800.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,9800.0,chart_observation_marked_exact
rally-05latour,2021-03-31,2021-02-25T00:00:00Z,12.0,12000.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,12000.0,observed_at_exceeds_quarter_lookback:34d; chart_observation_marked_exact
rally-05latour,2021-06-30,2021-07-20T00:00:00Z,12.1,12100.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,chart_estimate,Submitted precision_status was approx.,,quarterly,12100.0,observed_at_after_period_end
rally-05latour,2021-09-30,2021-09-27T00:00:00Z,13.45,13450.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,13450.0,chart_observation_marked_exact
rally-05latour,2021-12-31,2022-01-31T00:00:00Z,14.0,14000.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,chart_estimate,Submitted precision_status was approx.,,quarterly,14000.0,observed_at_after_period_end
rally-05latour,2022-03-31,2022-03-31T00:00:00Z,14.35,14350.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14350.0,chart_observation_marked_exact
rally-05latour,2022-06-30,2022-06-30T00:00:00Z,14.3,14300.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14300.0,chart_observation_marked_exact
rally-05latour,2022-09-30,2022-09-29T00:00:00Z,14.25,14250.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14250.0,chart_observation_marked_exact
rally-05latour,2022-12-31,2022-12-29T00:00:00Z,14.25,14250.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14250.0,chart_observation_marked_exact
rally-05latour,2023-03-31,2023-03-30T00:00:00Z,14.8,14800.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14800.0,chart_observation_marked_exact
rally-05latour,2023-06-30,2023-06-29T00:00:00Z,14.5,14500.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14500.0,chart_observation_marked_exact
rally-05latour,2023-09-30,2023-09-28T00:00:00Z,16.6,16600.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16600.0,chart_observation_marked_exact
rally-05latour,2023-12-31,2023-12-28T00:00:00Z,14.5,14500.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,14500.0,chart_observation_marked_exact
rally-05latour,2024-03-31,2024-03-28T00:00:00Z,15.95,15950.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15950.0,chart_observation_marked_exact
